FIELDNAME,DDTEXT,,,,
AACOM,Ordinary_730-4 MunSurchAdvPayToBeDeducted TotalAmount,,,,
AACOMC,Ordinary_730-4 MunSurchAdvPayToBeDeducted SpouseAmount,,,,
AACOMD,Ordinary_730-4 MunSurchAdvPayToBeDeducted DeclarantAmount,,,,
AAC_TYPE,'X' = statistical accounting object,,,,
AAO_GAK,Work Incapacity Notification for Joint Admin. Office (GAK)?,,,,
AATS,Values Registered: Select/Deselect,,,,
AAW_WAO,Benefits under 'AAW'/'WAO',,,,
ABAPFORM,"ABAP/4 FORM routine name, called by external program",,,,
ABAPLCNT,SAP Workload: Workload: integer without a leading sign,,,,
ABAPLINE,ABAP Line Number,,,,
ABAPLOCAT,ABAP location,,,,
ABAPPROG,"ABAP program, current main program",,,,
ABAPREPORT,ABAP name,,,,
ABAPSCNT,SAP Workload: Workload: integer without a leading sign,,,,
ABAPTYPE,ABAP Type of Node,,,,
ABAPUSER,User,,,,
ABAP_CODE,Content Snippet (e.g. source code),,,,
ABAP_ENCOD,Encoding,,,,
ABAP_FIELD_NAME,Field Name in ABAP,,,,
ABAP_FLAG,ABAP Trace Activated,,,,
ABAP_FLAG,ABAP Trave activated,,,,
ABAP_NAME,Variable name in program,,,,
ABAP_RFC_TIME,ABAP RFC time,,,,
ABAP_TIME,ABAP overall time,,,,
ABAP_TYPE,(DATATYPE_D),,,,
ABAP_TYPE,Data Type in ABAP,,,,
ABAP_TYPECAT,"ABAP Type Category (S, T, E)",,,,
ABAP_TYPEKIND,"ABAP Type Kind (C, N, I, ...)",,,,
ABAP_TYPE_DECIMALS,DBOSC-DP: ABAP Type Decimals,,,,
ABAP_TYPE_INTERNAL,DBOSC-DP: ABAP Type Name,,,,
ABAP_TYPE_LENGTH,DBOSC-DP: ABAP Type Length,,,,
ABAP_TYPE_NAME,DBOSC-DP: Obsolete,,,,
ABAP_VERSION,ABAP Generation Time Stamp,,,,
ABARBA,Percent of completion for work,,,,
ABARBD,Processing % of duration,,,,
ABAROUTE,ABA Routing ID (EFT),,,,
ABART,Employee subgroup grouping for personnel calculation rule,,,,
ABART,Release type,,,,
ABASICPATH,Phys. arch.path,,,,
ABASTAGE,No. Base Days,,,,
ABBFA,Company Deduction,,,,
ABBFZ,Tax Deduction,,,,
ABBKU,Customer Deduction,,,,
ABBRENAME,Abbreviated Name,,,,
ABBRKZ,Termination Flag,,,,
ABBRV_NAME,Abbreviation,,,,
ABC,Number,,,,
ABCDE,"CONSTANT: Alphabet (A,B,C,...)",,,,
ABCINDIC,ABC indicator for technical object,,,,
ABDABNF_CID,Currency,,,,
ABDACOVCPCO_CID,Currency,,,,
ABDACOV_CID,Currency,,,,
ABDADEDCTBL_CID,Currency,,,,
ABDALIMIT_CID,Currency,,,,
ABDAPOLPR_CID,Currency,,,,
ABDAT,Deduction Date,,,,
ABDAT,Dlv. schedule date,,,,
ABDAY,Absence Days,,,,
ABDIS,MRP for DS type,,,,
ABDPS,Absence Days for Public Sector,,,,
ABEGD,Vacation from,,,,
ABELN,Allocation Table Number,,,,
ABELP,Item number of allocation table,,,,
ABEND,Deduction for Dinner Invitation,,,,
ABFAHRTSDATUM,Departure Date,,,,
ABFAHRTSZEITPUNKT,Departure Date/Time,,,,
ABFINDUNG,Severance Pay Treaty on Sharing of Pension Costs,,,,
ABFOR,Form of payment guarantee,,,,
ABGES,Total Variance,,,,
ABGRU,RejectionReason,,,,
ABI,abi,,,,
ABKRS,Payroll Area,,,,
ABKRS_COMP,Payroll Area,,,,
ABKRS_HEAD,Text,,,,
ABKRS_KEY,Payroll Area,,,,
ABKRS_TEXT,Payroll Area Text,,,,
ABLAD,Unloading Point,,,,
ABLBELNR,Internal ID for meter reading document,,,,
ABLC,Building type,,,,
ABLD,Building,,,,
ABLEINH,Meter reading unit,,,,
ABLEINH_TEXT,Text for schedule master record,,,,
ABLESART,Scheduled meter reading category,,,,
ABLESER,Meter reader number,,,,
ABLESGR,Meter reading reason,,,,
ABLN,Building number,,,,
ABLOC,Abap location (string),,,,
ABNKR,Bank Reference (e.g. account number),,,,
ABNUM,Maintenance Plan Call Number,,,,
ABNUM_HEAD,Text,,,,
ABORDNUNG,Associated Superior Separation Allowance,,,,
ABOVE,Number of the superior WBS element,,,,
ABOVE_LIMIT,Customizing Limit for Travel Expense Type Exceeded,,,,
ABPER,Accounting period,,,,
ABPER,Settlement Period,,,,
ABPRE,Absence from prev. month,,,,
ABR,Number of Objects 12 <= rc     (Terminate),,,,
ABRBEZ,Settlement Description,,,,
ABRDATS,Scheduled Billing Date,,,,
ABREC,Indicator: open/to be settled/settled,,,,
ABREINHEIT,Payroll Units,,,,
